T07	"Enrolment in primary, secondary and tertiary education levels"					
156	China	2015	Gross enrollement ratio - Primary (male)	99.2	"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
156	China	2015	Gross enrollment ratio - Primary (female)	99.5	"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
156	China	2015	Students enrolled in secondary education (thousands)	"86,127"	"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
156	China	2015	Students enrolled in tertiary education (thousands)	"43,367"	"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
156	China	2015	Gross enrollment ratio - Tertiary (male)	41.7	"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
156	China	2015	Gross enrollment ratio - Tertiary (female)	49.5	"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
156	China	2016	Students enrolled in primary education (thousands)	"98,189"	"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
156	China	2016	Gross enrollement ratio - Primary (male)	100.6	"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
156	China	2016	Gross enrollment ratio - Primary (female)	101.2	"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
156	China	2016	Students enrolled in secondary education (thousands)	"83,956"	"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
156	China	2016	Students enrolled in tertiary education (thousands)	"43,886"	"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
156	China	2016	Gross enrollment ratio - Tertiary (male)	44.2	"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
156	China	2016	Gross enrollment ratio - Tertiary (female)	53.3	"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China."	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2005	Students enrolled in primary education (thousands)	451		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2005	Students enrolled in secondary education (thousands)	498		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2005	Gross enrollment ratio - Secondary (male)	81.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2005	Gross enrollment ratio - Secondary (female)	81.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2005	Students enrolled in tertiary education (thousands)	152		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2005	Gross enrollment ratio - Tertiary (male)	33		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2005	Gross enrollment ratio - Tertiary (female)	33.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2010	Students enrolled in primary education (thousands)	349		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2010	Students enrolled in secondary education (thousands)	508		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2010	Gross enrollment ratio - Secondary (male)	87.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2010	Gross enrollment ratio - Secondary (female)	87.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2010	Students enrolled in tertiary education (thousands)	265		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2010	Gross enrollment ratio - Tertiary (male)	59.2	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2010	Gross enrollment ratio - Tertiary (female)	58.9	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2014	Students enrolled in primary education (thousands)	324		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2014	Gross enrollement ratio - Primary (male)	109.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2014	Gross enrollment ratio - Primary (female)	107.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2014	Students enrolled in secondary education (thousands)	416		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2014	Gross enrollment ratio - Secondary (male)	102.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2014	Gross enrollment ratio - Secondary (female)	99		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2014	Students enrolled in tertiary education (thousands)	305		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2014	Gross enrollment ratio - Tertiary (male)	65		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2014	Gross enrollment ratio - Tertiary (female)	72.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2015	Students enrolled in primary education (thousands)	333		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2015	Gross enrollement ratio - Primary (male)	110.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2015	Gross enrollment ratio - Primary (female)	107.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2015	Students enrolled in secondary education (thousands)	394		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2015	Gross enrollment ratio - Secondary (male)	102.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2015	Gross enrollment ratio - Secondary (female)	99.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2015	Students enrolled in tertiary education (thousands)	299		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2015	Gross enrollment ratio - Tertiary (male)	64.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2015	Gross enrollment ratio - Tertiary (female)	73.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2016	Students enrolled in primary education (thousands)	341		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2016	Gross enrollement ratio - Primary (male)	108.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2016	Gross enrollment ratio - Primary (female)	106		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2016	Students enrolled in secondary education (thousands)	372		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2016	Gross enrollment ratio - Secondary (male)	104.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2016	Gross enrollment ratio - Secondary (female)	100.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2016	Students enrolled in tertiary education (thousands)	300		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2016	Gross enrollment ratio - Tertiary (male)	67.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
344	"China, Hong Kong SAR"	2016	Gross enrollment ratio - Tertiary (female)	76.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2005	Students enrolled in primary education (thousands)	37		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2005	Gross enrollement ratio - Primary (male)	102.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2005	Gross enrollment ratio - Primary (female)	96.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2005	Students enrolled in secondary education (thousands)	47		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2005	Gross enrollment ratio - Secondary (male)	89.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2005	Gross enrollment ratio - Secondary (female)	83.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2005	Students enrolled in tertiary education (thousands)	23		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2005	Gross enrollment ratio - Tertiary (male)	65.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2005	Gross enrollment ratio - Tertiary (female)	44.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2010	Students enrolled in primary education (thousands)	25		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2010	Gross enrollement ratio - Primary (male)	96.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2010	Gross enrollment ratio - Primary (female)	94.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2010	Students enrolled in secondary education (thousands)	38		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2010	Gross enrollment ratio - Secondary (male)	89		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2010	Gross enrollment ratio - Secondary (female)	86.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2010	Students enrolled in tertiary education (thousands)	29		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2010	Gross enrollment ratio - Tertiary (male)	56		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2010	Gross enrollment ratio - Tertiary (female)	54		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2014	Students enrolled in primary education (thousands)	23		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2014	Gross enrollement ratio - Primary (male)	101.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2014	Gross enrollment ratio - Primary (female)	100.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2014	Students enrolled in secondary education (thousands)	32		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2014	Gross enrollment ratio - Secondary (male)	94.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2014	Gross enrollment ratio - Secondary (female)	92		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2014	Students enrolled in tertiary education (thousands)	30		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2014	Gross enrollment ratio - Tertiary (male)	57		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2014	Gross enrollment ratio - Tertiary (female)	72.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2015	Students enrolled in primary education (thousands)	24		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2015	Gross enrollement ratio - Primary (male)	104.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2015	Gross enrollment ratio - Primary (female)	102.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2015	Students enrolled in secondary education (thousands)	30		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2015	Gross enrollment ratio - Secondary (male)	95.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2015	Gross enrollment ratio - Secondary (female)	94.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2015	Students enrolled in tertiary education (thousands)	31		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2015	Gross enrollment ratio - Tertiary (male)	62		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2015	Gross enrollment ratio - Tertiary (female)	80.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2016	Students enrolled in primary education (thousands)	26		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2016	Gross enrollement ratio - Primary (male)	106.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2016	Gross enrollment ratio - Primary (female)	105.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2016	Students enrolled in secondary education (thousands)	29		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2016	Gross enrollment ratio - Secondary (male)	99.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2016	Gross enrollment ratio - Secondary (female)	99.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2016	Students enrolled in tertiary education (thousands)	32		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2016	Gross enrollment ratio - Tertiary (male)	67.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
446	"China, Macao SAR"	2016	Gross enrollment ratio - Tertiary (female)	89.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2005	Students enrolled in primary education (thousands)	"5,298"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2005	Gross enrollement ratio - Primary (male)	128.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2005	Gross enrollment ratio - Primary (female)	126.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2005	Students enrolled in secondary education (thousands)	"4,297"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2005	Gross enrollment ratio - Secondary (male)	79.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2005	Gross enrollment ratio - Secondary (female)	87.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2005	Students enrolled in tertiary education (thousands)	"1,224"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2005	Gross enrollment ratio - Tertiary (male)	28		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2005	Gross enrollment ratio - Tertiary (female)	30.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2010	Students enrolled in primary education (thousands)	"5,085"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2010	Gross enrollement ratio - Primary (male)	125.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2010	Gross enrollment ratio - Primary (female)	123.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2010	Students enrolled in secondary education (thousands)	"5,080"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2010	Gross enrollment ratio - Secondary (male)	97.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2010	Gross enrollment ratio - Secondary (female)	106.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2010	Students enrolled in tertiary education (thousands)	"1,674"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2010	Gross enrollment ratio - Tertiary (male)	37.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2010	Gross enrollment ratio - Tertiary (female)	41.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2014	Students enrolled in primary education (thousands)	"4,543"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2014	Gross enrollement ratio - Primary (male)	115.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2014	Gross enrollment ratio - Primary (female)	111.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2014	Students enrolled in secondary education (thousands)	"4,828"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2014	Gross enrollment ratio - Secondary (male)	95.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2014	Gross enrollment ratio - Secondary (female)	102.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2014	Students enrolled in tertiary education (thousands)	"2,221"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
170	Colombia	2014	Gross enrollment ratio - Tertiary (male)	49.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
